timestamp,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,ram_used_mb
1790155455.8445468,14.0,16151.0,50.0,144.18,17942.921875
1790155456.1160843,33.0,16151.0,51.0,152.21,17914.44140625
1790155456.3857183,33.0,16265.0,51.0,152.21,17914.73046875
1790155456.6561742,33.0,16191.0,51.0,157.35,17922.84765625
1790155456.9277718,33.0,16171.0,51.0,157.35,17899.4453125
1790155457.1987696,19.0,16151.0,51.0,157.16,17875.33203125
1790155457.469205,19.0,16355.0,51.0,157.16,17893.76953125
1790155457.7388475,35.0,16193.0,51.0,157.82,17881.38671875
1790155458.0086405,3.0,16171.0,51.0,156.55,17845.828125
1790155458.2780268,3.0,16151.0,51.0,156.55,17852.453125
1790155458.5479374,34.0,16151.0,51.0,157.51,17846.7265625
